"","Date","Low","High","Average_Model","generation","dose_ppm"
"1",2021-07-13,23.1,35.25,14.05,1,0
"2",2021-07-14,22.64,37.8,13.82,1,0
"3",2021-07-15,21.54,38.9,13.27,1,0
"4",2021-07-16,23.69,39.91,14.345,1,0
"5",2021-07-17,22.46,39.53,13.73,1,0
"6",2021-07-18,21.84,32.57,13.42,1,0
"7",2021-07-19,20.05,34.91,12.525,1,0
"8",2021-07-20,19.39,36.14,12.195,1,0
"9",2021-07-21,20.4,35.53,12.7,2,2.5
"10",2021-07-22,16.06,32.63,10.53,2,2.5
"11",2021-07-23,16.03,33.69,10.515,2,2.5
"12",2021-07-24,15.38,35.51,10.19,2,2.5
"13",2021-07-25,19.73,35.66,12.365,2,2.5
"14",2021-07-26,20.88,37.75,12.94,2,2.5
"15",2021-07-27,18.67,40.52,11.835,2,2.5
"16",2021-07-28,19.12,35.6,12.06,2,2.5
"17",2021-07-29,19.8,30.65,12.4,2,2.5
"18",2021-07-30,20.11,34.46,12.555,2,2.5
"19",2021-07-31,14.11,31.39,9.555,3,2.5
"20",2021-08-01,16.49,25.27,8.88,3,2.5
"21",2021-08-02,13.7,31.36,9.35,3,2.5
"22",2021-08-03,15.18,31.1,10.09,3,2.5
"23",2021-08-04,16.65,30.29,10.825,3,2.5
"24",2021-08-05,15.91,34.64,10.455,3,2.5
"25",2021-08-06,17.73,37.96,11.365,3,2.5
"26",2021-08-07,18.1,36.61,11.55,3,2.5
"27",2021-08-08,18.76,31.1,11.88,3,2.5
"28",2021-08-09,18.07,37.74,11.535,3,2.5
"29",2021-08-10,22.07,36.74,13.535,3,2.5
"30",2021-08-11,21.53,38.62,13.265,4,2.5
"31",2021-08-12,21.85,39.64,13.425,4,2.5
"32",2021-08-13,23.05,41.16,14.025,4,2.5
"33",2021-08-14,23.06,39.73,14.03,4,2.5
"34",2021-08-15,21.44,34.42,13.22,4,2.5
"35",2021-08-16,21.58,31.99,13.29,4,2.5
"36",2021-08-17,22.48,31.38,13.74,4,2.5
"37",2021-08-18,24.08,36.26,14.54,4,2.5
"38",2021-08-19,23.72,38.23,14.36,4,2.5
"39",2021-08-20,22.32,31.84,13.66,5,2.5
"40",2021-08-21,21,33.02,13,5,2.5
"41",2021-08-22,21.62,30.92,13.31,5,2.5
"42",2021-08-23,21.55,36.64,13.275,5,2.5
"43",2021-08-24,20.31,39.18,12.655,5,2.5
"44",2021-08-25,19.86,39.17,12.43,5,7.5
"45",2021-08-26,22.56,39.36,13.78,5,7.5
"46",2021-08-27,23.22,41.5,14.11,5,7.5
"47",2021-08-28,19.92,25.91,10.915,5,7.5
"48",2021-08-29,20.25,30.76,12.625,6,7.5
"49",2021-08-30,22.81,36.1,13.905,6,7.5
"50",2021-08-31,21.29,35.65,13.145,6,7.5
"51",2021-09-01,17.56,28.59,11.075,6,7.5
"52",2021-09-02,15.26,29.17,10.13,6,7.5
"53",2021-09-03,11.34,28.9,8.45,6,7.5
"54",2021-09-04,12.46,30.43,8.73,6,7.5
"55",2021-09-05,14.64,27.52,9.08,6,7.5
"56",2021-09-06,16.46,33.76,10.73,6,7.5
"57",2021-09-07,14.05,33.23,9.525,6,0
"58",2021-09-08,16.6,34.01,10.8,6,0
"59",2021-09-09,18.17,24.12,9.145,7,0
"60",2021-09-10,12.96,28.61,8.785,7,0
"61",2021-09-11,11.04,31.5,8.5,7,0
"62",2021-09-12,15.73,33.25,10.365,7,0
"63",2021-09-13,18.85,35.43,11.925,7,0
"64",2021-09-14,19.48,34.71,12.24,7,0
"65",2021-09-15,20.75,35.66,12.875,7,0
"66",2021-09-16,20.15,31.79,12.575,7,0
"67",2021-09-17,20.68,27.09,11.885,7,0
"68",2021-09-18,19.86,35.46,12.43,7,0
"69",2021-09-19,15.99,30.95,10.495,8,0
"70",2021-09-20,12.82,30.9,8.91,8,0
"71",2021-09-21,15.26,31.73,10.13,8,0
"72",2021-09-22,20.17,31.97,12.585,8,0
"73",2021-09-23,16.36,29.65,10.68,8,0
"74",2021-09-24,10.39,28.25,8.125,8,0
"75",2021-09-25,9.6,30.39,8.5,8,0
"76",2021-09-26,11.57,27,7.5,8,0
"77",2021-09-27,9.65,30.73,8.5,8,0
"78",2021-09-28,15.02,26.76,8.89,8,0
"79",2021-09-29,10.12,25.19,6.595,8,0
"80",2021-09-30,10.27,25.95,6.975,8,0
"81",2021-10-01,7.243,25.5,6.75,8,0
"82",2021-10-02,7.933,28.92,8.46,9,0
"83",2021-10-03,12.42,31.97,8.71,9,0
"84",2021-10-04,18.59,31.32,11.795,9,0
"85",2021-10-05,17.17,22.51,7.84,9,0
"86",2021-10-06,17.63,26.04,9.835,9,0
"87",2021-10-07,14.82,28.62,9.72,9,0
"88",2021-10-08,13.67,31.19,9.335,9,0
"89",2021-10-09,16.49,24.95,8.72,9,0
"90",2021-10-10,17.11,22.88,7.995,9,0
"91",2021-10-11,16.26,24,8.13,9,0
"92",2021-10-12,15.43,23.28,7.355,9,0
"93",2021-10-13,16.34,25.37,8.855,9,0
"94",2021-10-14,14.03,28.13,9.08,9,0
"95",2021-10-15,14.07,31.28,9.535,10,0
"96",2021-10-16,12.5,29.93,8.75,10,0
"97",2021-10-17,8.03,20.4,4.2,10,0
"98",2021-10-18,5.457,20.74,4.37,10,0
"99",2021-10-19,3.92,22.91,5.455,10,0
"100",2021-10-20,6.992,27.5,7.75,10,0
"101",2021-10-21,9.47,27.44,7.72,10,0
"102",2021-10-22,9.19,24.76,6.38,10,0
"103",2021-10-23,7.883,21.27,4.635,10,0
"104",2021-10-24,4.886,18.48,3.24,10,0
"105",2021-10-25,12.2,26.93,7.565,10,0
"106",2021-10-26,9.48,20.49,4.245,10,0
"107",2021-10-27,9.15,20.07,4.035,10,0
"108",2021-10-28,7.235,20.74,4.37,10,0
"109",2021-10-29,10.14,16.81,2.405,10,0
"110",2021-10-30,14.1,22.23,6.165,10,0
"111",2021-10-31,8.47,18.82,3.41,10,0
"112",2021-11-01,4.66,19.29,3.645,10,0
"113",2021-11-02,2.125,10.98,0,10,0
"114",2021-11-03,-1.147,14.69,1.345,10,0
"115",2021-11-04,-1.366,14.67,1.335,10,0
"116",2021-11-05,-0.996,14.92,1.46,10,0
"117",2021-11-06,-1.636,15.46,1.73,10,0
"118",2021-11-07,0.284,13.81,0.905000000000001,10,0
"119",2021-11-08,2.814,21.29,4.645,10,0
"120",2021-11-09,2.798,24.3,6.15,10,0
"121",2021-11-10,6.539,21.95,4.975,10,0
"122",2021-11-11,4.477,20.14,4.07,NA,0
"123",2021-11-12,4.369,20.68,4.34,NA,0
"124",2021-11-13,1.079,18.31,3.155,NA,0
"125",2021-11-14,-2.13,9.84,0,NA,0
"126",2021-11-15,1.039,10.2,0,NA,0
"127",2021-11-16,-3.356,12.48,0.24,NA,0
"128",2021-11-17,-1.287,18.83,3.415,NA,0
"129",2021-11-18,4.501,23.32,5.66,NA,0
"130",2021-11-19,0.437,11.68,0,NA,0
"131",2021-11-20,-2.597,12.53,0.265000000000001,NA,0
"132",2021-11-21,0.74,12.7,0.35,NA,0
"133",2021-11-22,0.235,10.59,0,NA,0
"134",2021-11-23,-3.684,8.35,0,NA,0
"135",2021-11-24,-5.362,10.93,0,NA,0
"136",2021-11-25,-3.603,14.31,1.155,NA,0
"137",2021-11-26,2.85,10.49,0,NA,0
"138",2021-11-27,0.702,7.2,0,NA,0
"139",2021-11-28,0.868,12.75,0.375,NA,0
"140",2021-11-29,-4.351,8.86,0,NA,0
"141",2021-11-30,-5.376,5.939,0,NA,0
"142",2021-12-01,-2.046,13.5,0.75,NA,0
"143",2021-12-02,5.245,15.78,1.89,NA,0
"144",2021-12-03,2.959,12.53,0.265000000000001,NA,0
"145",2021-12-04,-0.66,8.99,0,NA,0
"146",2021-12-05,-2.303,14.39,1.195,NA,0
"147",2021-12-06,7.497,19.56,3.78,NA,0
"148",2021-12-07,-1.978,9.6,0,NA,0
"149",2021-12-08,0.277,7.466,0,NA,0
"150",2021-12-09,-4.764,3.039,0,NA,0
