h,0.85,0.9,0.95
0.0,"(-0.20491067710653593, -0.05052102816091868)","(-0.21545674145698554, -0.040551455050531884)","(-0.229752594354098, -0.02465561736527525)"
0.010101010101010102,"(-0.20665286849799192, -0.05095056800526607)","(-0.2172885975881444, -0.0408962315985266)","(-0.2317059966740771, -0.024865244335091383)"
0.020202020202020204,"(-0.20842493884270963, -0.05138747454938951)","(-0.21915187044193976, -0.04124692113771952)","(-0.23369290025970713, -0.025078466452067728)"
0.030303030303030304,"(-0.21022766343453034, -0.051831938943123386)","(-0.22104737521398307, -0.04160367709736968)","(-0.23571417439595627, -0.02529537700245254)"
0.04040404040404041,"(-0.2120618446242366, -0.05228415900723064)","(-0.22297595554935695, -0.0419666582612562)","(-0.23777071870492564, -0.025516072528086235)"
0.05050505050505051,"(-0.2139283130102643, -0.05274433952697458)","(-0.22493848479460912, -0.042336029003318065)","(-0.2398634644809147, -0.02574065296967228)"
0.06060606060606061,"(-0.21582792869285375, -0.05321269256133173)","(-0.22693586731645066, -0.042711959535848394)","(-0.2419933760966171, -0.02596922181768136)"
0.07070707070707072,"(-0.2177615825956183, -0.05368943776882645)","(-0.2289690398913411, -0.04309462617103049)","(-0.2441614524849066, -0.02620188627136743)"
0.08080808080808081,"(-0.21973019785879652, -0.05417480275103932)","(-0.2310389731704466, -0.04348421159665991)","(-0.24636872870099713, -0.026438757406409)"
0.09090909090909091,"(-0.2217347313087658, -0.0546690234149179)","(-0.23314667322478475, -0.04388090516695862)","(-0.24861627757011034, -0.026679950351726548)"
0.10101010101010102,"(-0.22377617500873204, -0.05517234435510152)","(-0.2352931831757227, -0.04428490320945365)","(-0.2509052114261593, -0.026925584476067223)"
0.11111111111111112,"(-0.2258555578958759, -0.05568501925756212)","(-0.23747958491638216, -0.04469640934896545)","(-0.25323668394737125, -0.027175783584992452)"
0.12121212121212122,"(-0.2279739475106316, -0.05620731132596043)","(-0.23970700092991806, -0.045115634849829014)","(-0.25561189209521146, -0.027430676128951174)"
0.13131313131313133,"(-0.23013245182420447, -0.056739493732223145)","(-0.24197659621109252, -0.04554279897755634)","(-0.2580320781634564, -0.0276903954231736)"
0.14141414141414144,"(-0.2323322211709013, -0.05728185009296181)","(-0.24428958029805567, -0.04597812938124114)","(-0.26049853194478595, -0.027955079880176394)"
0.15151515151515152,"(-0.23457445029235327, -0.057834674973478946)","(-0.24664720942177784, -0.04642186249810688)","(-0.2630125930228335, -0.02822487325573122)"
0.16161616161616163,"(-0.236860380501265, -0.0583982744212436)","(-0.2490507887811596, -0.04687424398170885)","(-0.2655756531982523, -0.028499924909215088)"
0.17171717171717174,"(-0.23919130197292313, -0.058972966530866096)","(-0.25150167495247644, -0.04733552915541954)","(-0.26818915905803087, -0.02878039007933322)"
0.18181818181818182,"(-0.24156855617335243, -0.059559082042763556)","(-0.2540012784425041, -0.047805983492956464)","(-0.270854614698021, -0.02906643017628388)"
0.19191919191919193,"(-0.2439935384337226, -0.06015696497788358)","(-0.2565510663954213, -0.04828588312785255)","(-0.27357358460944753, -0.029358213091520556)"
0.20202020202020204,"(-0.2464677006813856, -0.06076697331104563)","(-0.25915256546440446, -0.048775515393923614)","(-0.27634769674103743, -0.029655913526360624)"
0.21212121212121213,"(-0.2489925543387767, -0.06138947968566922)","(-0.2618073648597254, -0.04927517939895559)","(-0.27917864574936285, -0.02995971334079189)"
0.22222222222222224,"(-0.2515696734023399, -0.06202487217288756)","(-0.26451711958613877, -0.049785186634018395)","(-0.28206819645103376, -0.030269801923940416)"
0.23232323232323235,"(-0.25420069771465803, -0.06267355507829604)","(-0.26728355388341773, -0.05030586162101459)","(-0.2850181874915178, -0.030586376587785413)"
0.24242424242424243,"(-0.256887336444081, -0.06333594979985964)","(-0.2701084648850668, -0.05083754260129152)","(-0.28803053524661404, -0.030909642985841104)"
0.25252525252525254,"(-0.2596313717873677, -0.06401249574080478)","(-0.2729937265115265, -0.05138058226838759)","(-0.291107237973977, -0.031239815558672408)"
0.26262626262626265,"(-0.2624346629121965, -0.06470365128165097)","(-0.27594129361559144, -0.0519353485482479)","(-0.29425038023358885, -0.03157711800827251)"
0.27272727272727276,"(-0.2652991501578722, -0.06540989481590143)","(-0.27895320639931376, -0.052502225430536696)","(-0.29746213759773066, -0.03192178380350763)"
0.2828282828282829,"(-0.2682268595141742, -0.06613172585430953)","(-0.2820315951233625, -0.05308161385499334)","(-0.3007447816728143, -0.03227405671902871)"
0.29292929292929293,"(-0.2712199074000721, -0.06686966620307822)","(-0.2851786851316836, -0.05367393265713158)","(-0.3041006854574354, -0.03263419141026433)"
0.30303030303030304,"(-0.27428050576599583, -0.06762426122183218)","(-0.2883968022163666, -0.05427961957796958)","(-0.3075323290632066, -0.03300245402734489)"
0.31313131313131315,"(-0.27741096754550926, -0.06839608116773599)","(-0.2916883783498978, -0.05489913234290641)","(-0.31104230582735354, -0.03337912287106831)"
0.32323232323232326,"(-0.28061371248462624, -0.06918572263272048)","(-0.2950559578144917, -0.055532949815333174)","(-0.31463332884873574, -0.03376448909430511)"
0.33333333333333337,"(-0.2838912733796438, -0.06999381008142974)","(-0.29850220376096415, -0.05618157323108902)","(-0.3183082379819105, -0.03415885745255775)"
0.3434343434343435,"(-0.28724630275728774, -0.07082099749822078)","(-0.3020299052326829, -0.056845527520449975)","(-0.32207000732713176, -0.03456254710774072)"
0.3535353535353536,"(-0.29068158003419975, -0.07166797015234559)","(-0.30564198469352954, -0.05752536272497855)","(-0.32592175325780315, -0.03497589248963671)"
0.36363636363636365,"(-0.2942000191963789, -0.07253544649132872)","(-0.3093415061025756, -0.058221655517271445)","(-0.3298667430309199, -0.035399244219915686)"
0.37373737373737376,"(-0.297804677043173, -0.07342418017353543)","(-0.31313168358236515, -0.05893501083243065)","(-0.3339084040305037, -0.03583297010408269)"
0.38383838383838387,"(-0.30149876204484055, -0.0743349622520166)","(-0.317015890732345, -0.059666063620959005)","(-0.33805033369899257, -0.03627745619725276)"
0.393939393939394,"(-0.30528564386762785, -0.07526862352293046)","(-0.32099767064416596, -0.06041548073375588)","(-0.3422963102170702, -0.036733107950243725)"
