h,0.75,0.85,0.95,1.00
0.0,"(-0.033682239262509704, 0.030381378287222073)","(-0.03821924428809881, 0.04009578850345491)","(-0.045913585728774006, 0.06105916109720486)","(-0.06685663704169767, 0.13238757938769413)"
0.010101010101010102,"(-0.03343481381729618, 0.030158200546860754)","(-0.03793849058107813, 0.03980124994132621)","(-0.04557631036825676, 0.060610628266560926)","(-0.06636551669020925, 0.13141507706932246)"
0.020202020202020204,"(-0.03319099697543707, 0.029938277766561452)","(-0.03766183155707618, 0.03951100710893696)","(-0.045243954036969805, 0.0601686371118381)","(-0.06588155913697818, 0.13045675831693454)"
0.030303030303030304,"(-0.03295071036335338, 0.029721539253359477)","(-0.037389178285575676, 0.03922496670932959)","(-0.04491640990080363, 0.05973304555741761)","(-0.06540460881651837, 0.12951231508425326)"
0.04040404040404041,"(-0.03271387786069959, 0.029507916346706617)","(-0.03712044439280382, 0.038943038127825805)","(-0.044593574197119935, 0.05930371561234214)","(-0.06493451463583765, 0.12858144818130468)"
0.05050505050505051,"(-0.032480425519966175, 0.029297342345952642)","(-0.03685554597050534, 0.038665133336320386)","(-0.04427534612515866, 0.05888051322457135)","(-0.06447112981485512, 0.12766386695841703)"
0.06060606060606061,"(-0.03225028148950013, 0.02908975244090979)","(-0.03659440148859377, 0.03839116680164374)","(-0.04396162774110426, 0.05846330814143344)","(-0.06401431173360278, 0.12675928900365377)"
0.07070707070707072,"(-0.032023375939775146, 0.02888508364534851)","(-0.03633693171149029, 0.038121055397793)","(-0.04365232385758163, 0.05805197377596776)","(-0.06356392178587757, 0.12586743985301965)"
0.08080808080808081,"(-0.031799640992752544, 0.028683274733280976)","(-0.03608305961796949, 0.03785471832184226)","(-0.04334734194736526, 0.05764638707887029)","(-0.06311982523902822, 0.12498805271281471)"
0.09090909090909091,"(-0.031579010654182754, 0.02848426617789709)","(-0.03583271032434191, 0.03759207701335342)","(-0.04304659205109671, 0.05724642841576983)","(-0.06268189109957908, 0.12412086819354635)"
0.10101010101010102,"(-0.03136142074870573, 0.02828800009302498)","(-0.03558581101081239, 0.03733305507711878)","(-0.042749986688817396, 0.05685198144957791)","(-0.06224999198440931, 0.12326563405484217)"
