h=0.5,h=0.25,h=0.0
-0.25587026328048107,-0.188404443542322,-0.14909283901236398
-0.3441905717256341,-0.2534371611108143,-0.20055612888321953
-0.11704784541731561,-0.08618560789732584,-0.06820251540687393
-0.24021496474377876,-0.17687700861697822,-0.13997066563239421
-0.06596821081652339,-0.048574241848282,-0.038438963985510916
-0.20134974300120623,-0.1482594569652974,-0.11732432066774577
-0.2628822690341752,-0.19356757983335768,-0.15317865903531558
-0.21085358466131676,-0.15525740184771883,-0.12286210656151575
-0.27505298590700467,-0.2025292196524523,-0.1602704043132603
-0.2785357708037656,-0.20509369174873712,-0.1622997854584943
-0.20641811047256955,-0.15199143793435385,-0.12027760365489436
-0.061371005919165875,-0.045189191082975845,-0.03576022234167543
-0.18484489827196496,-0.13610647737674533,-0.10770712589649017
-0.20178071922491692,-0.14857679683342886,-0.11757544585875486
-0.23199301473865022,-0.17082295647473694,-0.1351798241615407
-0.2465508989553003,-0.18154233449009047,-0.14366254606930065
-0.14493822402271903,-0.10672207506614108,-0.0844539378038997
-0.07267540989646515,-0.05351294044569889,-0.04234717645158187
-0.2603826645395319,-0.19172705101280876,-0.1517221664920382
-0.21777187295870967,-0.1603515313500083,-0.12689331843483
-0.4094631968680163,-0.30149922373907917,-0.23858978260874
-0.286542969627128,-0.21098961657918383,-0.16696549373504738
-0.26606284627899807,-0.1959095279686021,-0.15503194704561066
-0.28129195630760795,-0.20712314835496104,-0.1639057849847547
-0.13707678714491858,-0.10093347884000796,-0.07987316343879522
-0.24337134284033418,-0.17920113824136846,-0.14180985306034488
-0.10238465984380657,-0.07538869354270057,-0.059658435535727874
-0.23997860112880642,-0.17670296746510078,-0.13983293910667902
-0.3486085391443336,-0.2566902342989079,-0.2031304307840074
-0.2843129497249829,-0.20934759044701312,-0.1656660852223027
-0.18604078304427735,-0.13698704083957056,-0.10840395503775019
-0.4440806215045353,-0.32698900337151043,-0.25876098207593845
-0.13792482669611422,-0.10155791412098374,-0.08036730692644205
-0.25811244628968155,-0.19005542571099002,-0.15039933483622817
-0.18517924682771325,-0.13635266758574938,-0.10790194718895728
-0.18157242402095936,-0.1336968629011803,-0.10580029049318092
-0.3017885339302729,-0.22221535270888051,-0.17584891940225666
-0.17981590780321094,-0.1324034907979313,-0.10477678746349006
-0.2649552918239352,-0.19509400459310844,-0.1543865870262437
-0.24081941561785553,-0.17732208273039432,-0.14032287262864382
-0.15849465322281597,-0.11670405369515197,-0.09235312268923744
-0.34116047616171574,-0.2512060168532485,-0.19879052492318397
-0.056513588372621264,-0.041612538453724174,-0.0329298575974576
-0.18435306322863673,-0.1357443254546547,-0.10742053892856578
-0.2112466102064767,-0.15554679756797338,-0.12309111830200098
-0.14048197009186045,-0.10344081044647577,-0.08185732676597143
-0.19407134446110633,-0.14290016820213391,-0.11308327644520004
-0.24566282634378284,-0.18088842174519792,-0.14314507574976174
-0.2630480901647481,-0.19368967857759078,-0.1532752812172307
-0.27045664884952997,-0.19914480790196604,-0.15759216835035186
-0.07361523045614403,-0.05420495665463926,-0.04289479974163615
-0.18116881202209115,-0.13339967207846085,-0.10556511014045368
-0.31759416686509895,-0.23385348306346504,-0.18505869101240027
-0.21642795488867342,-0.15936196682263645,-0.12611023188974727
-0.1668646909176716,-0.12286714695229574,-0.09723025325754653
-0.16881695687171375,-0.12430465507067656,-0.09836781754447681
-0.24906069577759268,-0.1833903682070447,-0.1451249775718219
-0.013133528024470525,-0.009670584645021624,-0.007652764937636769
-0.3029300494299149,-0.22305588255298062,-0.17651406815552032
-0.1136784662992533,-0.08370463965317397,-0.06623921458410416
-0.25587026328048107,-0.188404443542322,-0.14909283901236398
-0.39749253936943346,-0.2926848932422837,-0.2316146097675257
-0.17678520270847312,-0.13017189772574597,-0.10301082833642894
-0.1735359948147955,-0.12777941492093248,-0.10111754998825782
-0.09475508803037003,-0.06977082605959649,-0.05521276643948343
-0.19632399792631341,-0.1445588600609092,-0.1143958732906983
-0.1778851616583368,-0.130981828317959,-0.10365176253694783
-0.13664909199548284,-0.10061855491879067,-0.07962395009433051
