"Genotype","Survival"
"R1R1",82
"R3R3",76
"SR3",88
"SR3",88
"SR1",86
"SR2",88
"SR1",84
"R1R1",76
"R3R3",74
"R1R1",74
"SR2",88
"SR3",82
"SR3",84
"SR3",84
"R3R3",80
"SR3",80
"SR2",86
"SR2",80
"R3R3",82
"R2R2",74
"R2R2",80
"SR1",88
"R2R2",76
"SR2",92
"R2R2",76
"R1R1",74
"SR1",82
"R1R1",74
"R3R3",72
"SS",90
"SS",84
"R1R1",74
"SR2",92
"R3R3",72
"SS",92
"SR1",82
"SR1",92
"SS",92
"SS",98
"R1R1",90
"R2R2",78
"SS",86
"R3R3",86
"SR3",94
"SR2",90
"SR1",94
"R2R2",64
"R1R1",78
"SR2",82
"R1R1",74
"R2R2",82
"SR2",84
"SR3",92
"SR3",78
"SR3",86
"R1R1",68
"SR2",86
"R3R3",76
"R2R2",78
"SS",98
"SR1",88
"SS",80
"R2R2",90
"SR1",86
"SR1",74
"R3R3",78
"R3R3",80
"SS",88
"SS",86
"R2R2",42
