Date,TP,Treatment,Treatment_Cage,Dose_ppm,mean_Survival,n_class
2021-07-13,1,E,E1,0,61,2
2021-07-13,1,E,E1,2.5,28,2
2021-07-13,1,E,E1,5,6,1
2021-07-13,1,E,E1,7.5,8,1
2021-07-13,1,E,E1,10,2,1
2021-07-13,1,E,E10,0,80,1
2021-07-13,1,E,E10,2.5,26,1
2021-07-13,1,E,E10,5,10,1
2021-07-13,1,E,E10,7.5,6,1
2021-07-13,1,E,E10,10,4,1
2021-07-13,1,E,E2,0,79,2
2021-07-13,1,E,E2,2.5,34,2
2021-07-13,1,E,E2,5,15,2
2021-07-13,1,E,E2,7.5,8,2
2021-07-13,1,E,E2,10,0,2
2021-07-13,1,E,E3,0,83,2
2021-07-13,1,E,E3,2.5,27,2
2021-07-13,1,E,E3,5,23,2
2021-07-13,1,E,E3,7.5,11,2
2021-07-13,1,E,E3,10,1,2
2021-07-13,1,E,E4,0,64,2
2021-07-13,1,E,E4,2.5,30,2
2021-07-13,1,E,E4,5,6,2
2021-07-13,1,E,E4,7.5,9,2
2021-07-13,1,E,E4,10,1,2
2021-07-13,1,E,E5,0,84,1
2021-07-13,1,E,E5,2.5,30,1
2021-07-13,1,E,E5,5,12,1
2021-07-13,1,E,E5,7.5,4,1
2021-07-13,1,E,E5,10,0,1
2021-07-13,1,E,E6,0,60,1
2021-07-13,1,E,E6,2.5,18,1
2021-07-13,1,E,E6,5,12,1
2021-07-13,1,E,E6,7.5,2,1
2021-07-13,1,E,E6,10,2,1
2021-07-13,1,E,E8,0,100,1
2021-07-13,1,E,E8,2.5,30,1
2021-07-13,1,E,E8,5,18,1
2021-07-13,1,E,E8,7.5,16,1
2021-07-13,1,E,E8,10,4,1
2021-07-13,1,E,E9,0,86,1
2021-07-13,1,E,E9,2.5,28.000000000000004,1
2021-07-13,1,E,E9,5,12,1
2021-07-13,1,E,E9,7.5,8,1
2021-07-13,1,E,E9,10,4,1
2021-07-13,1,P,P1,0,84,2
2021-07-13,1,P,P1,2.5,37,2
2021-07-13,1,P,P1,5,26,1
2021-07-13,1,P,P1,7.5,12,1
2021-07-13,1,P,P1,10,6,1
2021-07-13,1,P,P10,0,90,1
2021-07-13,1,P,P10,2.5,34,1
2021-07-13,1,P,P10,5,14.000000000000002,1
2021-07-13,1,P,P10,7.5,10,1
2021-07-13,1,P,P10,10,4,1
2021-07-13,1,P,P2,0,81,2
2021-07-13,1,P,P2,2.5,22,2
2021-07-13,1,P,P2,5,4,2
2021-07-13,1,P,P2,7.5,6,2
2021-07-13,1,P,P2,10,1,2
2021-07-13,1,P,P3,0,79,2
2021-07-13,1,P,P3,2.5,34,2
2021-07-13,1,P,P3,5,13,2
2021-07-13,1,P,P3,7.5,9,2
2021-07-13,1,P,P3,10,1,2
2021-07-13,1,P,P4,0,80,2
2021-07-13,1,P,P4,2.5,35,2
2021-07-13,1,P,P4,5,14,2
2021-07-13,1,P,P4,7.5,9,2
2021-07-13,1,P,P4,10,0,2
2021-07-13,1,P,P5,0,90,1
2021-07-13,1,P,P5,2.5,36,1
2021-07-13,1,P,P5,5,18,1
2021-07-13,1,P,P5,7.5,10,1
2021-07-13,1,P,P5,10,2,1
2021-07-13,1,P,P6,0,84,1
2021-07-13,1,P,P6,2.5,30,1
2021-07-13,1,P,P6,5,10,1
2021-07-13,1,P,P6,7.5,8,1
2021-07-13,1,P,P6,10,0,1
2021-07-13,1,P,P7,0,90,1
2021-07-13,1,P,P7,2.5,26,1
2021-07-13,1,P,P7,5,12,1
2021-07-13,1,P,P7,7.5,2,1
2021-07-13,1,P,P7,10,4,1
2021-07-13,1,P,P8,0,74,1
2021-07-13,1,P,P8,2.5,18,1
2021-07-13,1,P,P8,5,6,1
